wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
71.603416,1778662930.759828,1778662930.577894,1,0.050177,0.951863,0.044928,0.166859,0.027325,-0.069080
71.693768,1778662930.850181,1778662930.677912,1,0.051849,0.950601,0.041062,0.161486,0.026970,-0.068306
71.797352,1778662930.953764,1778662930.777900,1,0.051042,0.950333,0.037518,0.162322,0.029908,-0.068083
71.914900,1778662931.071309,1778662930.877820,1,0.050403,0.950953,0.034797,0.161513,0.027128,-0.068871
71.987012,1778662931.143432,1778662930.977905,1,0.051300,0.951012,0.031434,0.158011,0.026556,-0.067882
72.085828,1778662931.242247,1778662931.078376,1,0.050391,0.951228,0.041736,0.160015,0.030877,-0.068362
72.197201,1778662931.353612,1778662931.177911,1,0.050694,0.951508,0.042975,0.164194,0.029909,-0.068654
72.307771,1778662931.464186,1778662931.282342,1,0.053722,0.948690,0.047853,0.168478,0.032230,-0.069104
72.409718,1778662931.566127,1778662931.377929,1,0.050722,0.951813,0.046576,0.174114,0.030632,-0.069684
72.483711,1778662931.640123,1778662931.477924,1,0.050253,0.951617,0.045285,0.171070,0.031492,-0.069015
72.598767,1778662931.755178,1778662931.577906,1,0.049849,0.952480,0.044319,0.163795,0.030449,-0.068526
72.689107,1778662931.845518,1778662931.677917,1,0.049780,0.951074,0.048112,0.166939,0.030461,-0.068543
72.797685,1778662931.954097,1778662931.777931,1,0.051049,0.951300,0.051781,0.167520,0.029838,-0.069488
72.900582,1778662932.056996,1778662931.877918,1,0.050307,0.950996,0.044494,0.167991,0.027180,-0.068287
72.994266,1778662932.150680,1778662931.978446,1,0.050455,0.951628,0.044061,0.164360,0.028739,-0.068787
73.095030,1778662932.251440,1778662932.078168,1,0.049550,0.952010,0.042788,0.166237,0.028678,-0.068252
73.214338,1778662932.370773,1778662932.177928,1,0.051157,0.951300,0.042189,0.167043,0.031602,-0.068647
73.307773,1778662932.464188,1778662932.282414,1,0.053847,0.948004,0.041718,0.158526,0.035391,-0.067622
73.403675,1778662932.560101,1778662932.377919,1,0.050921,0.950506,0.043663,0.161502,0.030601,-0.069056
73.491662,1778662932.648069,1778662932.477912,1,0.051162,0.949922,0.040512,0.163548,0.028404,-0.067582
73.611875,1778662932.768283,1778662932.577950,1,0.050905,0.951097,0.042765,0.164905,0.027926,-0.068207
73.726378,1778662932.882788,1778662932.677934,1,0.050589,0.951068,0.043192,0.163425,0.029260,-0.068689
73.800568,1778662932.956979,1778662932.777915,1,0.050884,0.950944,0.044844,0.166482,0.029455,-0.068617
73.922774,1778662933.079193,1778662932.877936,1,0.049489,0.951481,0.042712,0.168047,0.028706,-0.068501
73.991691,1778662933.148101,1778662932.977947,1,0.051175,0.951799,0.045958,0.164969,0.029876,-0.068501
74.095221,1778662933.251631,1778662933.077904,1,0.050651,0.951118,0.045453,0.164531,0.027481,-0.068426
74.199097,1778662933.355513,1778662933.177960,1,0.050691,0.950433,0.039701,0.157047,0.032335,-0.068310
74.293344,1778662933.449755,1778662933.282568,1,0.054016,0.946607,0.037457,0.147813,0.030380,-0.068111
74.428321,1778662933.584727,1778662933.377932,1,0.049991,0.951487,0.037111,0.151244,0.027569,-0.067194
74.492521,1778662933.648932,1778662933.478282,1,0.051176,0.950372,0.037765,0.155660,0.027070,-0.067441
74.609133,1778662933.765545,1778662933.577947,1,0.050977,0.950030,0.038288,0.159622,0.027848,-0.068132
74.695848,1778662933.852259,1778662933.678337,1,0.051091,0.951022,0.039011,0.161979,0.027209,-0.067556
74.799586,1778662933.955997,1778662933.778483,1,0.050333,0.952103,0.041233,0.157468,0.029440,-0.068060
74.897615,1778662934.054037,1778662933.877929,1,0.050799,0.950749,0.039238,0.162867,0.027655,-0.068640
74.999184,1778662934.155595,1778662933.978156,1,0.050160,0.951732,0.037164,0.160269,0.028301,-0.068188
75.106094,1778662934.262504,1778662934.077959,1,0.050565,0.950928,0.036317,0.157494,0.028499,-0.067211
75.204911,1778662934.361323,1778662934.178185,1,0.050855,0.950181,0.040961,0.160321,0.027843,-0.068665
75.305227,1778662934.461636,1778662934.282871,1,0.053405,0.948315,0.037670,0.151793,0.031874,-0.067505
75.390286,1778662934.546694,1778662934.377969,1,0.050263,0.951025,0.038898,0.162899,0.028637,-0.068267
75.500724,1778662934.657141,1778662934.477968,1,0.050604,0.949268,0.041648,0.172498,0.031690,-0.068970
75.588193,1778662934.744601,1778662934.577955,1,0.050933,0.951070,0.037880,0.170222,0.031888,-0.068598
75.684770,1778662934.841178,1778662934.677940,1,0.051078,0.950057,0.039235,0.164402,0.027696,-0.069353
75.808663,1778662934.965076,1778662934.778027,1,0.050871,0.950660,0.045100,0.164710,0.027779,-0.068019
75.908245,1778662935.064666,1778662934.877947,1,0.051132,0.951592,0.036473,0.164104,0.026630,-0.068161
75.995312,1778662935.151746,1778662934.978281,1,0.051519,0.950682,0.032977,0.164615,0.030080,-0.068127
76.118366,1778662935.274779,1778662935.078334,1,0.050384,0.950222,0.039847,0.164870,0.033511,-0.068444
76.200668,1778662935.357080,1778662935.177987,1,0.050599,0.951869,0.047262,0.165321,0.029847,-0.068529
76.305359,1778662935.461772,1778662935.282990,1,0.052565,0.950661,0.045588,0.165956,0.033803,-0.068214
76.397615,1778662935.554024,1778662935.377992,1,0.050547,0.951793,0.045938,0.171281,0.029035,-0.068877
76.503720,1778662935.660134,1778662935.478017,1,0.050076,0.952802,0.045399,0.167206,0.031587,-0.068524
76.605795,1778662935.762209,1778662935.578001,1,0.050724,0.951464,0.043851,0.161233,0.027636,-0.067351
76.693208,1778662935.849619,1778662935.678484,1,0.050723,0.951065,0.042431,0.162367,0.025687,-0.067786
76.786527,1778662935.942937,1778662935.778000,1,0.050816,0.951809,0.038331,0.162751,0.025470,-0.067802
76.902294,1778662936.058726,1778662935.878014,1,0.050315,0.952207,0.044470,0.165191,0.030071,-0.068566
77.000105,1778662936.156522,1778662935.978015,1,0.052170,0.950780,0.042683,0.165001,0.030920,-0.067994
77.089065,1778662936.245476,1778662936.077993,1,0.051261,0.951076,0.040719,0.162656,0.029425,-0.067417
77.207385,1778662936.363794,1778662936.178006,1,0.050447,0.951567,0.043820,0.161498,0.027457,-0.067983
77.296649,1778662936.453059,1778662936.282491,1,0.054110,0.948547,0.042685,0.157826,0.034080,-0.067907
77.387452,1778662936.543864,1778662936.378783,1,0.051545,0.950530,0.038072,0.161497,0.028439,-0.067557
77.490084,1778662936.646496,1778662936.478008,1,0.050968,0.951931,0.042685,0.161355,0.030014,-0.068715
77.584188,1778662936.740600,1778662936.578462,1,0.051019,0.952144,0.041590,0.160915,0.031002,-0.066707
77.711302,1778662936.867713,1778662936.678468,1,0.052133,0.949991,0.046280,0.164575,0.027342,-0.068713
77.780346,1778662936.936758,1778662936.778171,1,0.051997,0.950742,0.045589,0.165623,0.027293,-0.068048
77.909558,1778662937.065975,1778662936.878020,1,0.051316,0.951073,0.041842,0.168961,0.027716,-0.068860
78.000224,1778662937.156634,1778662936.978036,1,0.052009,0.949017,0.040489,0.162259,0.025805,-0.068020
78.092474,1778662937.248903,1778662937.078031,1,0.051677,0.949917,0.044678,0.160197,0.028629,-0.067774
78.199246,1778662937.355664,1778662937.178301,1,0.051954,0.949740,0.036364,0.163356,0.030526,-0.068956
78.295744,1778662937.452157,1778662937.282883,1,0.055797,0.945861,0.034109,0.152168,0.036927,-0.067022
78.398968,1778662937.555384,1778662937.378015,1,0.052051,0.949492,0.036810,0.153515,0.029806,-0.067669
78.479842,1778662937.636252,1778662937.478009,1,0.051861,0.949640,0.037286,0.158729,0.026055,-0.067583
78.580627,1778662937.737042,1778662937.578311,1,0.051544,0.950026,0.036485,0.160309,0.022389,-0.069230
78.698333,1778662937.854746,1778662937.678130,1,0.051631,0.948800,0.039332,0.165225,0.027117,-0.068282
78.808399,1778662937.964820,1778662937.778096,1,0.052031,0.949082,0.041541,0.165854,0.025700,-0.068637
78.900270,1778662938.056682,1778662937.878109,1,0.052276,0.949011,0.041270,0.160135,0.025928,-0.067771
79.011487,1778662938.167898,1778662937.978016,1,0.051316,0.950308,0.038267,0.161031,0.027648,-0.068018
79.105828,1778662938.262242,1778662938.078021,1,0.051672,0.949804,0.040890,0.161021,0.028039,-0.068056
79.203857,1778662938.360272,1778662938.178025,1,0.052717,0.948099,0.036218,0.163203,0.030482,-0.068458
79.291961,1778662938.448372,1778662938.282835,1,0.055157,0.947159,0.035456,0.159522,0.031570,-0.067826
79.402901,1778662938.559313,1778662938.378068,1,0.051732,0.949917,0.034113,0.161342,0.029549,-0.067530
79.507740,1778662938.664147,1778662938.478025,1,0.051477,0.949301,0.037397,0.161525,0.029300,-0.068219
79.595011,1778662938.751420,1778662938.578032,1,0.051915,0.949527,0.037559,0.163057,0.030228,-0.068009
79.691346,1778662938.847758,1778662938.678030,1,0.051603,0.949931,0.041501,0.156296,0.031145,-0.067622
79.788220,1778662938.944634,1778662938.778054,1,0.052114,0.949381,0.039371,0.166042,0.026432,-0.067605
79.885022,1778662939.041430,1778662938.878049,1,0.052161,0.950234,0.030559,0.165482,0.025401,-0.068591
80.007972,1778662939.164387,1778662938.978054,1,0.051324,0.950218,0.038255,0.165693,0.028379,-0.068681
80.100628,1778662939.257047,1778662939.078191,1,0.051827,0.950277,0.041056,0.161615,0.030344,-0.068315
80.195937,1778662939.352349,1778662939.178056,1,0.051972,0.950026,0.043207,0.161062,0.029070,-0.067079
80.297143,1778662939.453555,1778662939.282634,1,0.055315,0.946838,0.045469,0.160304,0.033603,-0.068292
